Instance;betaLS;CostSol;time;Capacity;reliability;variance;stochastic_of;stochastic_capacity;deterministic;type_simulation;inversa;weight;seed
MDG-b_01_n500_b02_m50,txt;0,3;50,6;76,54682512;49039,0;0,471;0,1;50,6;48956,270050688654;True;True;0,2;0,8;23456
MDG-b_01_n500_b02_m50,txt;0,3;50,6;76,54682512;49039,0;0,484;0,1;24,542000000000005;149832,6224631592;True;False;0,2;0,8;23456
MDG-b_01_n500_b02_m50,txt;0,3;50,2;146,75669140000002;49376,0;0,655;0,1;50,2;48367,72285325635;True;True;0,2;0,8;764534
MDG-b_01_n500_b02_m50,txt;0,3;50,2;146,75669140000002;49376,0;0,696;0,1;34,9696;108655,35067851492;True;False;0,2;0,8;764534
MDG-b_01_n500_b02_m50,txt;0,3;50,5;139,38443872;49299,0;0,66;0,1;50,5;48441,19654437587;True;True;0,2;0,8;398582
MDG-b_01_n500_b02_m50,txt;0,3;50,5;139,38443872;49299,0;0,638;0,1;32,2552;119921,19628232086;True;False;0,2;0,8;398582
MDG-b_01_n500_b02_m50,txt;0,3;50,6;18,06235777699999;49444,0;0,711;0,1;50,6;48722,84862904022;True;True;0,2;0,8;843732
MDG-b_01_n500_b02_m50,txt;0,3;50,6;18,06235777699999;49444,0;0,722;0,1;36,561000000000014;103614,61884371821;True;False;0,2;0,8;843732
MDG-b_01_n500_b02_m50,txt;0,3;50,4;6,999352927000018;48968,0;0,423;0,1;50,4;49009,81706481041;True;True;0,2;0,8;9922523
MDG-b_01_n500_b02_m50,txt;0,3;50,4;6,999352927000018;48968,0;0,452;0,1;22,835600000000003;156070,86762020225;True;False;0,2;0,8;9922523
MDG-b_02_n500_b02_m50,txt;0,3;47,4;20,582320529999947;48657,0;0,58;0,1;47,4;48702,24170368614;True;True;0,2;0,8;23456
MDG-b_02_n500_b02_m50,txt;0,3;47,4;20,582320529999947;48657,0;0,571;0,1;27,1083;131475,9214283672;True;False;0,2;0,8;23456
MDG-b_02_n500_b02_m50,txt;0,3;46,9;178,30351072199983;48531,0;0,465;0,1;46,9;48524,939645280436;True;True;0,2;0,8;764534
MDG-b_02_n500_b02_m50,txt;0,3;46,9;178,30351072199983;48531,0;0,499;0,1;23,453199999999995;145353,34458938605;True;False;0,2;0,8;764534
MDG-b_02_n500_b02_m50,txt;0,3;42,3;142,08808318399997;48940,0;0,735;0,1;42,3;49213,7271137827;True;True;0,2;0,8;398582
MDG-b_02_n500_b02_m50,txt;0,3;42,3;142,08808318399997;48940,0;0,742;0,1;31,412400000000005;98630,60957863177;True;False;0,2;0,8;398582
MDG-b_02_n500_b02_m50,txt;0,3;44,1;150,22596067299992;48546,0;0,498;0,1;44,1;48360,73930832542;True;True;0,2;0,8;843732
MDG-b_02_n500_b02_m50,txt;0,3;44,1;150,22596067299992;48546,0;0,528;0,1;23,332000000000008;139757,3439753883;True;False;0,2;0,8;843732
MDG-b_02_n500_b02_m50,txt;0,3;44,0;108,2308493999999;48600,0;0,547;0,1;44,0;47764,57468666433;True;True;0,2;0,8;9922523
MDG-b_02_n500_b02_m50,txt;0,3;44,0;108,2308493999999;48600,0;0,549;0,1;24,201100000000004;135709,3882317188;True;False;0,2;0,8;9922523
MDG-b_03_n500_b02_m50,txt;0,3;43,9;83,25674864200005;49902,0;0,465;0,1;43,9;49109,1111778554;True;True;0,2;0,8;23456
MDG-b_03_n500_b02_m50,txt;0,3;43,9;83,25674864200005;49902,0;0,46;0,1;20,248;157273,68567700768;True;False;0,2;0,8;23456
MDG-b_03_n500_b02_m50,txt;0,3;43,9;54,515887785999894;49851,0;0,428;0,1;43,9;49501,96588008876;True;True;0,2;0,8;764534
MDG-b_03_n500_b02_m50,txt;0,3;43,9;54,515887785999894;49851,0;0,433;0,1;19,0654;162624,7241932469;True;False;0,2;0,8;764534
MDG-b_03_n500_b02_m50,txt;0,3;46,3;45,70983093999985;49968,0;0,528;0,1;46,3;49535,90861315635;True;True;0,2;0,8;398582
MDG-b_03_n500_b02_m50,txt;0,3;46,3;45,70983093999985;49968,0;0,532;0,1;24,678400000000003;142998,32018081803;True;False;0,2;0,8;398582
MDG-b_03_n500_b02_m50,txt;0,3;41,7;96,46943746899979;50209,0;0,676;0,1;41,7;50390,47170104212;True;True;0,2;0,8;843732
