Instance;betaLS;CostSol;time;Capacity;reliability;variance;stochastic_of;stochastic_capacity;deterministic;type_simulation;inversa;weight;seed
GKD-b_11_n50_b02_m5,txt;0,3;147,2;0,48047438600000003;4247,0;0,558;0,1;147,2;4330,695110202815;True;True;0,0;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;147,2;0,48047438600000003;4247,0;0,565;0,1;86,9522;11590,183099580918;True;False;0,0;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;144,8;2,2940366960000063;4534,0;0,936;0,1;135,53279999999998;5594,838158247687;False;False;0,0;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;147,2;1,0480331719999754;4247,0;0,551;0,1;147,2;4339,7474547308475;True;True;0,0;0,8;764534
GKD-b_11_n50_b02_m5,txt;0,3;147,2;1,0480331719999754;4247,0;0,558;0,1;85,28280000000001;11706,39799400296;True;False;0,0;0,8;764534
GKD-b_11_n50_b02_m5,txt;0,3;144,8;23,44707300799996;4534,0;0,937;0,1;135,67759999999998;5568,547661157817;False;False;0,0;0,8;764534
GKD-b_11_n50_b02_m5,txt;0,3;147,2;0,9889982360000431;4247,0;0,512;0,15;147,2;4354,7810928589515;True;True;0,0;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;147,2;0,9889982360000431;4247,0;0,499;0,15;76,33830000000002;12721,310978674543;True;False;0,0;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;142,9;0,0;4827,0;0,975;0,15;139,32750000000004;5201,132417954303;False;False;0,0;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;147,2;1,054163739000046;4247,0;0,497;0,15;147,2;4370,800640857105;True;True;0,0;0,8;764534
GKD-b_11_n50_b02_m5,txt;0,3;147,2;1,054163739000046;4247,0;0,501;0,15;76,7587;12685,689679391191;True;False;0,0;0,8;764534
GKD-b_11_n50_b02_m5,txt;0,3;142,9;0,0;4827,0;0,964;0,15;137,75560000000004;5389,550189578831;False;False;0,0;0,8;764534
GKD-b_11_n50_b02_m5,txt;0,3;147,2;0,9917892720000054;4247,0;0,47;0,2;147,2;4367,685877234286;True;True;0,0;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;147,2;0,9917892720000054;4247,0;0,459;0,2;70,5225;13413,03915763249;True;False;0,0;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;142,9;0,0;4827,0;0,914;0,2;130,61060000000003;6199,319855977863;False;False;0,0;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;147,2;1,1858691550000913;4247,0;0,465;0,2;147,2;4391,886844866235;True;True;0,0;0,8;764534
GKD-b_11_n50_b02_m5,txt;0,3;147,2;1,1858691550000913;4247,0;0,472;0,2;72,04030000000002;13191,470928279916;True;False;0,0;0,8;764534
GKD-b_11_n50_b02_m5,txt;0,3;124,8;0;4423,0;0,648;0,2;80,87039999999998;10341,251135264474;False;False;0,0;0,8;764534
GKD-b_12_n50_b02_m5,txt;0,3;178,1;0,20233880199998566;5318,0;0,828;0,1;178,1;5488,675383773216;True;True;0,0;0,8;23456
GKD-b_12_n50_b02_m5,txt;0,3;178,1;0,20233880199998566;5318,0;0,834;0,1;153,82629999999995;8690,613249157805;True;False;0,0;0,8;23456
GKD-b_12_n50_b02_m5,txt;0,3;173,1;39,33918635399982;5452,0;0,952;0,1;164,79119999999992;6403,067988698728;False;False;0,0;0,8;23456
GKD-b_12_n50_b02_m5,txt;0,3;178,1;0,19487766500014914;5318,0;0,826;0,1;178,1;5137,21285916874;True;True;0,0;0,8;764534
GKD-b_12_n50_b02_m5,txt;0,3;178,1;0,19487766500014914;5318,0;0,863;0,1;158,93179999999992;8103,094324522387;True;False;0,0;0,8;764534
GKD-b_12_n50_b02_m5,txt;0,3;171,4;54,447500726999806;5287,0;0,82;0,1;140,54800000000006;8945,314148828484;False;False;0,0;0,8;764534
GKD-b_12_n50_b02_m5,txt;0,3;178,1;0,19985230800011777;5318,0;0,701;0,15;178,1;5568,057369154203;True;True;0,0;0,8;23456
