Instance;betaLS;CostSol;time;Capacity;reliability;variance;stochastic_of;stochastic_capacity;deterministic;type_simulation;inversa;weight;seed
GKD-b_11_n50_b02_m5,txt;0,3;147,2;0,46307927099999996;4247,0;0,558;0,1;147,2;4330,695110202815;True;True;0,0;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;147,2;0,46307927099999996;4247,0;0,565;0,1;84,27420000000001;11590,183099580918;True;False;0,0;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;144,8;4,556995796999999;4534,0;0,945;0,1;136,836;5462,606938020266;False;False;0,0;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;147,2;1,0377737179999826;4247,0;0,551;0,1;147,2;4339,7474547308475;True;True;0,0;0,8;764534
GKD-b_11_n50_b02_m5,txt;0,3;147,2;1,0377737179999826;4247,0;0,558;0,1;83,1671;11706,39799400296;True;False;0,0;0,8;764534
GKD-b_11_n50_b02_m5,txt;0,3;144,8;23,69645502100002;4534,0;0,937;0,1;135,67759999999998;5568,547661157817;False;False;0,0;0,8;764534
GKD-b_11_n50_b02_m5,txt;0,3;147,2;0,9775314180000123;4247,0;0,512;0,15;147,2;4354,7810928589515;True;True;0,0;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;147,2;0,9775314180000123;4247,0;0,499;0,15;74,54720000000002;12721,310978674543;True;False;0,0;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;142,9;0,0;4827,0;0,974;0,15;139,18460000000005;5219,990257409524;False;False;0,0;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;147,2;1,166675899999973;4247,0;0,497;0,15;147,2;4370,800640857105;True;True;0,0;0,8;764534
GKD-b_11_n50_b02_m5,txt;0,3;147,2;1,166675899999973;4247,0;0,501;0,15;74,7261;12685,689679391191;True;False;0,0;0,8;764534
GKD-b_11_n50_b02_m5,txt;0,3;142,9;0,0;4827,0;0,964;0,15;137,75560000000004;5389,550189578831;False;False;0,0;0,8;764534
GKD-b_11_n50_b02_m5,txt;0,3;147,2;0,9825483340000574;4247,0;0,47;0,2;147,2;4367,685877234286;True;True;0,0;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;147,2;0,9825483340000574;4247,0;0,459;0,2;68,568;13413,03915763249;True;False;0,0;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;142,9;0,0;4827,0;0,914;0,2;130,61060000000003;6202,227837334836;False;False;0,0;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;147,2;1,1742205550001472;4247,0;0,465;0,2;147,2;4391,886844866235;True;True;0,0;0,8;764534
GKD-b_11_n50_b02_m5,txt;0,3;147,2;1,1742205550001472;4247,0;0,472;0,2;70,22100000000002;13191,470928279916;True;False;0,0;0,8;764534
GKD-b_11_n50_b02_m5,txt;0,3;124,8;0;4423,0;0,648;0,2;80,87039999999998;10341,251135264474;False;False;0,0;0,8;764534
GKD-b_12_n50_b02_m5,txt;0,3;178,1;0,07230614800005242;5318,0;0,828;0,1;178,1;5488,675383773216;True;True;0,0;0,8;23456
GKD-b_12_n50_b02_m5,txt;0,3;178,1;0,07230614800005242;5318,0;0,834;0,1;149,93309999999994;8690,613249157805;True;False;0,0;0,8;23456
GKD-b_12_n50_b02_m5,txt;0,3;173,1;39,15147491700009;5452,0;0,948;0,1;164,09879999999993;6486,317420130774;False;False;0,0;0,8;23456
GKD-b_12_n50_b02_m5,txt;0,3;178,1;0,19218066700000236;5318,0;0,826;0,1;178,1;5137,21285916874;True;True;0,0;0,8;764534
GKD-b_12_n50_b02_m5,txt;0,3;178,1;0,19218066700000236;5318,0;0,863;0,1;155,14359999999996;8103,094324522387;True;False;0,0;0,8;764534
GKD-b_12_n50_b02_m5,txt;0,3;166,3;36,949581832999684;5729,0;0,996;0,1;165,6348;5791,828029041978;False;False;0,0;0,8;764534
GKD-b_12_n50_b02_m5,txt;0,3;178,1;0,19983961699972497;5318,0;0,701;0,15;178,1;5568,057369154203;True;True;0,0;0,8;23456
GKD-b_12_n50_b02_m5,txt;0,3;178,1;0,19983961699972497;5318,0;0,702;0,15;126,30719999999997;11386,89374488315;True;False;0,0;0,8;23456
GKD-b_12_n50_b02_m5,txt;0,3;173,1;37,77185614400014;5452,0;0,835;0,15;144,53849999999994;8776,444880477578;False;False;0,0;0,8;23456
GKD-b_12_n50_b02_m5,txt;0,3;178,1;0,19308088900015719;5318,0;0,701;0,15;178,1;5030,7836959415345;True;True;0,0;0,8;764534
GKD-b_12_n50_b02_m5,txt;0,3;178,1;0,19308088900015719;5318,0;0,729;0,15;131,1006;10837,57133576176;True;False;0,0;0,8;764534
GKD-b_12_n50_b02_m5,txt;0,3;166,3;37,00958819899961;5729,0;0,957;0,15;159,14909999999998;6561,922900941791;False;False;0,0;0,8;764534
GKD-b_12_n50_b02_m5,txt;0,3;178,1;0,07309430499981318;5318,0;0,606;0,2;178,1;5643,620190916261;True;True;0,0;0,8;23456
GKD-b_12_n50_b02_m5,txt;0,3;178,1;0,07309430499981318;5318,0;0,626;0,2;112,64719999999998;12945,191384261634;True;False;0,0;0,8;23456
GKD-b_12_n50_b02_m5,txt;0,3;173,1;37,99290902999974;5452,0;0,743;0,2;128,61329999999995;10642,802117171099;False;False;0,0;0,8;23456
GKD-b_12_n50_b02_m5,txt;0,3;178,1;0,19362990499985244;5318,0;0,615;0,2;178,1;4912,587172500149;True;True;0,0;0,8;764534
GKD-b_12_n50_b02_m5,txt;0,3;178,1;0,19362990499985244;5318,0;0,648;0,2;116,55629999999998;12494,890885255401;True;False;0,0;0,8;764534
GKD-b_12_n50_b02_m5,txt;0,3;163,0;0;5641,0;0,863;0,2;140,669;8351,279574710075;False;False;0,0;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;96,1;0,21778850800001237;5790,0;0,61;0,1;96,1;5883,005457150438;True;True;0,0;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;96,1;0,21778850800001237;5790,0;0,587;0,1;56,929300000000005;15241,935411291806;True;False;0,0;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;87,8;0,0;6256,0;0,993;0,1;87,18539999999996;6409,510431963787;False;False;0,0;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;96,1;7,019331005000367;5790,0;0,623;0,1;96,1;6117,931390535786;True;True;0,0;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;96,1;7,019331005000367;5790,0;0,626;0,1;60,6771;14356,216106556143;True;False;0,0;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;92,2;4,693385459000183;6206,0;0,976;0,1;89,98720000000004;6715,200884375324;False;False;0,0;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;96,1;0,2171027510003114;5790,0;0,543;0,15;96,1;5920,2122611692175;True;True;0,0;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;96,1;0,2171027510003114;5790,0;0,514;0,15;49,936;16931,24186615678;True;False;0,0;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;87,8;0,0;6256,0;0,931;0,15;81,74179999999997;7807,877030458163;False;False;0,0;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;96,1;7,042026948999592;5790,0;0,53;0,15;96,1;6262,976926999949;True;True;0,0;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;96,1;7,042026948999592;5790,0;0,558;0,15;54,0373;15931,26855384894;True;False;0,0;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;92,2;4,572274647000086;6206,0;0,891;0,15;82,15020000000004;8628,075519705344;False;False;0,0;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;96,1;0,09274344700043002;5790,0;0,496;0,2;96,1;5951,431112090442;True;True;0,0;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;96,1;0,09274344700043002;5790,0;0,464;0,2;45,101;18092,52728929148;True;False;0,0;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;87,8;0,0;6256,0;0,85;0,2;74,62999999999997;9642,849267122816;False;False;0,0;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;96,1;7,138959312000225;5790,0;0,46;0,2;96,1;6396,451517354491;True;True;0,0;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;96,1;7,138959312000225;5790,0;0,509;0,2;49,3646;17068,903143466538;True;False;0,0;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;92,2;4,7260813339999;6206,0;0,792;0,2;73,02240000000002;10866,590654970478;False;False;0,0;0,8;764534
GKD-b_14_n50_b02_m5,txt;0,3;84,6;0,490624093000406;4731,0;0,656;0,1;84,6;4937,134115599687;True;True;0,0;0,8;23456
GKD-b_14_n50_b02_m5,txt;0,3;84,6;0,490624093000406;4731,0;0,673;0,1;57,4256;10795,352357135165;True;False;0,0;0,8;23456
GKD-b_14_n50_b02_m5,txt;0,3;81,2;4,60991632600053;5010,0;0,979;0,1;79,49480000000001;5395,764293474294;False;False;0,0;0,8;23456
GKD-b_14_n50_b02_m5,txt;0,3;84,6;0,768496335999771;4779,0;0,758;0,1;84,6;5039,031270551147;True;True;0,0;0,8;764534
GKD-b_14_n50_b02_m5,txt;0,3;84,6;0,768496335999771;4779,0;0,77;0,1;65,6065;9037,43874615934;True;False;0,0;0,8;764534
GKD-b_14_n50_b02_m5,txt;0,3;81,2;4,748483219999798;5272,0;0,999;0,1;81,11880000000002;5265,53435333165;False;False;0,0;0,8;764534
GKD-b_14_n50_b02_m5,txt;0,3;84,6;0,4928725499994471;4731,0;0,571;0,15;84,6;5032,600638614848;True;True;0,0;0,8;23456
