Instance;betaLS;CostSol;time;Capacity;reliability;variance;stochastic_of;stochastic_capacity;deterministic;type_simulation;inversa;weight;seed
GKD-b_11_n50_b02_m5,txt;0,3;107,8;0,2988895;12744,0;0,604;0,1;107,8;12834,29803006477;True;True;0,6;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;107,8;0,2988895;12744,0;0,638;0,1;93,82679999999999;13917,214802730117;True;False;0,6;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;107,0;2,4910438490000075;13033,0;0,876;0,1;102,4616;13368,020346079331;False;False;0,6;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;107,8;0,017280502000005526;12744,0;0,63;0,1;107,8;12602,376561781157;True;True;0,6;0,8;764534
GKD-b_11_n50_b02_m5,txt;0,3;107,8;0,017280502000005526;12744,0;0,63;0,1;99,327;13935,831511749388;True;False;0,6;0,8;764534
GKD-b_11_n50_b02_m5,txt;0,3;107,0;1,9914000670000007;13033,0;0,901;0,1;103,2578;13298,89875819535;False;False;0,6;0,8;764534
GKD-b_11_n50_b02_m5,txt;0,3;107,8;0,30513853799999424;12744,0;0,52;0,15;107,8;12374,361411516207;True;True;0,6;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;107,8;0,30513853799999424;12744,0;0,461;0,15;86,9946;14464,563827256448;True;False;0,6;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;106,9;16,657152177;13487,0;0,942;0,15;104,78300000000003;13515,339908780707;False;False;0,6;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;107,8;0,020990412999992714;12744,0;0,527;0,15;107,8;12051,918274442643;True;True;0,6;0,8;764534
GKD-b_11_n50_b02_m5,txt;0,3;107,8;0,020990412999992714;12744,0;0,501;0,15;93,8779;14354,303875482725;True;False;0,6;0,8;764534
GKD-b_11_n50_b02_m5,txt;0,3;106,9;7,665710332000003;13487,0;0,934;0,15;104,49100000000003;13545,857168365037;False;False;0,6;0,8;764534
GKD-b_11_n50_b02_m5,txt;0,3;107,8;0,3089307139999846;12744,0;0,422;0,2;107,8;13715,30751953365;True;True;0,6;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;107,8;0,3089307139999846;12744,0;0,447;0,2;87,11779999999999;14534,723866842396;True;False;0,6;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;106,9;17,300235429000054;13487,0;0,818;0,2;100,25700000000003;13827,892488413747;False;False;0,6;0,8;23456
GKD-b_11_n50_b02_m5,txt;0,3;107,8;0,019278656999972554;12744,0;0,445;0,2;107,8;12759,60475469802;True;True;0,6;0,8;764534
GKD-b_11_n50_b02_m5,txt;0,3;107,8;0,019278656999972554;12744,0;0,436;0,2;86,70639999999999;14565,069249462802;True;False;0,6;0,8;764534
GKD-b_11_n50_b02_m5,txt;0,3;102,2;0,0;13967,0;0,946;0,2;101,29280000000003;13841,146243985371;False;False;0,6;0,8;764534
GKD-b_12_n50_b02_m5,txt;0,3;136,1;0,1433653230000118;15516,0;0,682;0,1;136,1;15530,020185310172;True;True;0,6;0,8;23456
GKD-b_12_n50_b02_m5,txt;0,3;136,1;0,1433653230000118;15516,0;0,69;0,1;127,85399999999997;16703,500245076146;True;False;0,6;0,8;23456
GKD-b_12_n50_b02_m5,txt;0,3;134,6;0,7685469269999885;15615,0;0,779;0,1;129,05289999999997;16431,682381456896;False;False;0,6;0,8;23456
